	tissue	gene_id	gene_name	chr	start	end	num_var	TR_chr	TR_start	TR_end	TR_locus	eTR	lead_TR	lead_p_nominal	p_nominal	slope	slope_se	qval
0	Whole_Blood	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	3.6126e-72	3.6126e-72	-6.2173e-01	3.0464e-02	6.0396e-67
1	Whole_Blood	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	2.2633e-66	2.2633e-66	6.0111e-01	3.1084e-02	1.7027e-61
2	Lung	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	2.0946e-57	2.0946e-57	-6.2846e-01	3.4511e-02	4.4828e-52
3	Thyroid	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	3.6830e-56	3.6830e-56	-5.9666e-01	3.3702e-02	7.8688e-51
4	Whole_Blood	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	8.2782e-52	8.2782e-52	-5.4162e-01	3.2696e-02	2.3066e-47
5	Testis	ENSG00000196115.13	ADAM5	chr8	39314591	39417378	4	chr8	39503689	39503863	26068	True	True	8.1577e-51	8.1577e-51	7.1382e-01	3.9396e-02	9.3549e-46
6	Testis	ENSG00000197475.11	ADAM3A	chr8	39451045	39522852	4	chr8	39503689	39503863	26068	True	True	9.4105e-50	9.4105e-50	7.0846e-01	3.9701e-02	5.3958e-45
7	Cells_Cultured_fibroblasts	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	9.6460e-44	9.6460e-44	5.7732e-01	3.7464e-02	8.7417e-39
8	Testis	ENSG00000254067.2	RP11-122L4.2	chr8	39522976	39580134	3	chr8	39503689	39503863	26068	True	True	2.9932e-42	2.9932e-42	-6.6677e-01	4.1924e-02	8.5812e-38
9	Adipose_Visceral_Omentum	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	4.3809e-40	4.3809e-40	-5.6208e-01	3.8438e-02	8.8867e-35
10	Skin_Sun_Exposed_Lower_leg	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	3.8902e-39	3.8902e-39	-4.9887e-01	3.5412e-02	4.0370e-34
11	Skin_Sun_Exposed_Lower_leg	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.4607e-36	1.4607e-36	4.9014e-01	3.6162e-02	1.5159e-32
12	Whole_Blood	ENSG00000159625.14	DRC7	chr16	57694793	57731805	5	chr16	57693733	57693863	9381	True	True	4.1148e-36	4.1148e-36	-4.5990e-01	3.4486e-02	8.5989e-32
13	Nerve_Tibial	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	5.2524e-36	5.2524e-36	5.1446e-01	3.7934e-02	1.1143e-31
14	Esophagus_Mucosa	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	1.6734e-36	1.6734e-36	-5.2558e-01	3.8316e-02	1.6462e-31
15	Artery_Tibial	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	5.6070e-35	5.6070e-35	4.8732e-01	3.6835e-02	1.0735e-30
16	Adipose_Subcutaneous	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	1.0470e-34	1.0470e-34	-4.8150e-01	3.6614e-02	2.1196e-29
